crawl_date,source,platform,rank,rank_group,title,rank_score
2026-04-26,Crawling.ipynb saved output,Kinolights,76,61-80,"가라, 아이야, 가라",25
2026-04-26,Crawling.ipynb saved output,Kinolights,77,61-80,스포트라이트,24
2026-04-26,Crawling.ipynb saved output,Kinolights,78,61-80,트랜스포머,23
2026-04-26,Crawling.ipynb saved output,Kinolights,79,61-80,밀수,22
2026-04-26,Crawling.ipynb saved output,Kinolights,80,61-80,애프터썬,21
2026-04-26,Crawling.ipynb saved output,Kinolights,81,81-100,콰이어트 플레이스 2,20
2026-04-26,Crawling.ipynb saved output,Kinolights,82,81-100,서치 2,19
2026-04-26,Crawling.ipynb saved output,Kinolights,83,81-100,좀비랜드: 더블 탭,18
2026-04-26,Crawling.ipynb saved output,Kinolights,84,81-100,드래곤 길들이기 3,17
2026-04-26,Crawling.ipynb saved output,Kinolights,85,81-100,랜드 오브 배드,16
2026-04-26,Crawling.ipynb saved output,Kinolights,86,81-100,던전 앤 드래곤: 도적들의 명예,15
2026-04-26,Crawling.ipynb saved output,Kinolights,87,81-100,다크 나이트,14
2026-04-26,Crawling.ipynb saved output,Kinolights,88,81-100,테넷,13
2026-04-26,Crawling.ipynb saved output,Kinolights,89,81-100,멀홀랜드 드라이브,12
2026-04-26,Crawling.ipynb saved output,Kinolights,90,81-100,트루먼 쇼,11
2026-04-26,Crawling.ipynb saved output,Kinolights,91,81-100,파벨만스,10
2026-04-26,Crawling.ipynb saved output,Kinolights,92,81-100,건국전쟁,9
2026-04-26,Crawling.ipynb saved output,Kinolights,93,81-100,스파이더맨: 노 웨이 홈,8
2026-04-26,Crawling.ipynb saved output,Kinolights,94,81-100,잠,7
2026-04-26,Crawling.ipynb saved output,Kinolights,95,81-100,인셉션,6
2026-04-26,Crawling.ipynb saved output,Kinolights,96,81-100,찰리와 초콜릿 공장,5
2026-04-26,Crawling.ipynb saved output,Kinolights,97,81-100,큐어,4
2026-04-26,Crawling.ipynb saved output,Kinolights,98,81-100,엘리멘탈,3
2026-04-26,Crawling.ipynb saved output,Kinolights,99,81-100,30일,2
2026-04-26,Crawling.ipynb saved output,Kinolights,100,81-100,너와 나,1
